CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
2908041513,10/01/2018,12/31/2018,12/12/2018,RE-ELECT TOM TUNNEY,1500.00,17201,THOMAS,RAINES,01/15/2019
4098396677,01/01/2018,03/31/2018,02/28/2018,SOL FLORES FOR CONGRESS,500.00,4069,STEVEN,FRIEDLAND,10/11/2019
2036002420,07/01/2012,09/30/2012,08/14/2012,"FRIENDS OF WALTER BURNETT, JR.",150.00,3847,GRAHAM,GRADY,11/08/2012
852955754,07/01/2012,09/30/2012,09/11/2012,44TH WARD DEMOCRATIC ORGANIZATION,500.00,4282,JUDITH,ROETTIG,10/04/2012
1756389720,07/01/2012,09/30/2012,09/26/2012,CITIZENS FOR O'CONNOR,500.00,3836,JOHN,DOERRER,11/14/2012
1297261838,01/01/2014,03/31/2014,02/24/2014,FRIENDS OF LESLIE A. HAIRSTON,250.00,8321,RICHARD,JOSEPH,04/08/2014
1575397089,10/01/2018,12/31/2018,12/11/2018,MICHAEL NEGON - ALDERMAN 47TH WARD,250.00,4116,JEROME,SCHAIN,01/21/2019
1364780529,01/01/2019,03/31/2019,12/18/2018,BILL DALEY FOR MAYOR,1000.00,23301,MATTHEW,DEVINE,04/10/2019
3934189069,07/01/2012,09/30/2012,09/13/2012,"ALDERMAN WALTER BURNETT, JR.",300.00,3739,COURTNEY,NOTTAGE,12/21/2012
3537324460,07/01/2018,09/30/2018,09/18/2018,ALDERMAN MELL,0.00,4312,TANYA,TRICHE - DAWOOD,10/09/2018
538938008,01/01/2016,03/31/2016,01/14/2016,FRIENDS OF SUSAN MENDOZA,1000.00,4254,ARNOLD,HARRIS,04/19/2016
3629034252,10/01/2018,12/31/2018,12/10/2018,TONI FOR CHICAGO,250.00,3845,ROLANDO,ACOSTA,01/21/2019
3489869118,10/01/2018,12/31/2018,11/06/2018,FRIENDS OF EDWARD M. BURKE,1500.00,18421,MATTHEW,DATTILO,01/16/2019
