Id,Label,timeset,count,modularity_class,clustering,triangles,eigencentrality
3893,3893,,12,35,0,0,0.001558
3779,3779,,9,36,0.333333,2,0.110541
19881,19881,,2,36,0,0,0.013857
6222,6222,,2,14,1,6,0.25245
3826,3826,,5,47,1,1,0.008017
3877,3877,,25,47,0.166667,1,0.022374
4313,4313,,3,47,1,1,0.008017
20201,20201,,27,1,0,0,0.002244
9743,9743,,27,43,0.3,3,0.15686
11493,11493,,24,43,0.333333,2,0.104623
4072,4072,,31,43,0.3,3,0.15686
4348,4348,,107,3,0,0,0.093569
7441,7441,,5,36,1,1,0.089462
3831,3831,,12,37,0,0,0.001558
16502,16502,,2,37,0,0,0.001558
4723,4723,,4,4,0,0,0.006318
5881,5881,,2,70,0,0,0.002244
3863,3863,,15,70,0,0,0.003926
24748,24748,,2,38,1,15,0.080797
4302,4302,,3,38,0.761905,16,0.085199
9961,9961,,2,38,1,15,0.080797
3958,3958,,3,38,0.761905,16,0.085199
8043,8043,,2,38,1,15,0.080797
9241,9241,,2,38,1,15,0.080797
12261,12261,,2,38,1,15,0.080797
5721,5721,,18,39,0,0,0.001558
17004,17004,,2,39,0,0,0.001558
4177,4177,,8,70,0,0,0.003926
20343,20343,,18,47,0,0,0.006925
3905,3905,,3,4,0,0,0.014087
3959,3959,,2,4,0,0,0.014087
4055,4055,,25,18,0,0,0.069635
21841,21841,,4,40,0,0,0.197296
4624,4624,,19,40,0.333333,1,0.027526
25147,25147,,3,40,1,1,0.007646
25148,25148,,2,40,1,1,0.007646
10901,10901,,4,41,1,1,0.005514
4228,4228,,5,41,0.333333,1,0.006845
3746,3746,,2,41,1,1,0.005514
11241,11241,,12,0,0,0,0.058612
4116,4116,,26,0,0,0,0.008317
14081,14081,,30,42,0.333333,1,0.063181
3881,3881,,13,0,0,0,0.054389
4204,4204,,2,0,0,0,0.064987
4052,4052,,14,43,0.5,3,0.063769
3899,3899,,13,43,0.5,3,0.063769
4168,4168,,10,43,0.6,6,0.071887
4193,4193,,54,32,0,0,0.054513
19001,19001,,126,44,0,0,0
3925,3925,,288,45,0,0,0.001558
20282,20282,,19,42,0,0,0.006501
11942,11942,,21,42,0,0,0.006501
19002,19002,,123,45,0,0,0.001558
3754,3754,,22,72,0,0,0.019817
3821,3821,,9,46,0,0,0
14481,14481,,7,47,0,0,0.00265
13202,13202,,99,0,0,0,0.021067
4133,4133,,3,34,0,0,0.011792
3970,3970,,2,34,0,0,0.011792
4239,4239,,11,3,0,0,0.01275
8361,8361,,10,3,0,0,0.01275
20226,20226,,2,4,0,0,0.00694
14001,14001,,2,4,0,0,0.00694
6082,6082,,3,48,0,0,0.001558
24643,24643,,2,48,0,0,0.001558
3960,3960,,2,16,0,0,0.192341
3852,3852,,9,18,0,0,0.028238
14641,14641,,29,32,0.333333,1,0.060551
25008,25008,,2,49,0,0,0.001558
22322,22322,,3,49,0,0,0.001558
8162,8162,,33,50,0,0,0.00583
6104,6104,,14,50,1,1,0.006554
4019,4019,,7,50,0,0,0.00583
3743,3743,,23,50,0.333333,1,0.008511
3864,3864,,40,1,0,0,0.002244
20528,20528,,5,50,0.333333,1,0.008511
17701,17701,,13,26,0,0,0.007092
22961,22961,,5,15,0.333333,2,0.232283
14741,14741,,6,15,0.5,3,0.2295
13702,13702,,18,15,0.333333,1,0.077606
14942,14942,,4,15,0,0,0.217957
4276,4276,,4,16,0.333333,1,0.206323
6843,6843,,3,16,0,0,0.192341
7221,7221,,2,16,0,0,0.192341
4338,4338,,7,16,0,0,0.201212
12961,12961,,5,15,0.3,3,0.243584
25187,25187,,4,15,0.666667,2,0.218199
14941,14941,,2,16,1,1,0.121891
10921,10921,,17,32,0,0,0.049505
15423,15423,,3,51,1,1,0.004774
15424,15424,,3,51,1,1,0.004774
15425,15425,,3,51,1,1,0.004774
7501,7501,,2,10,0,0,0.005529
5967,5967,,5,52,0,0,0.001558
5105,5105,,4,52,0,0,0.001558
18883,18883,,8,53,0,0,0.001558
18801,18801,,4,53,0,0,0.001558
4013,4013,,2,54,0,0,0.001558
13664,13664,,2,54,0,0,0.001558
16081,16081,,2,55,0,0,0.001558
17301,17301,,2,55,0,0,0.001558
18281,18281,,2,56,0,0,0.001558
